dt,Sunlight,Workday
2013-06-02 00:00:00,884.2283667,0
2013-06-03 00:00:00,885.2187555,1
2013-06-04 00:00:00,886.1584537,1
2013-06-05 00:00:00,887.0467463,1
2013-06-06 00:00:00,887.8829505,1
2013-06-07 00:00:00,888.6664174,1
2013-06-08 00:00:00,889.3965339,0
2013-06-09 00:00:00,890.0727245,0
2013-06-10 00:00:00,890.6944528,1
2013-06-11 00:00:00,891.2612234,1
2013-06-12 00:00:00,891.7725829,1
2013-06-13 00:00:00,892.2281217,1
2013-06-14 00:00:00,892.627475,1
2013-06-15 00:00:00,892.970324,0
2013-06-16 00:00:00,893.2563968,0
2013-06-17 00:00:00,893.4854694,1
2013-06-18 00:00:00,893.6573662,1
2013-06-19 00:00:00,893.7719606,1
2013-06-20 00:00:00,893.8291757,1
2013-06-21 00:00:00,893.8289839,1
2013-06-22 00:00:00,893.7714076,0
2013-06-23 00:00:00,893.6565189,0
2013-06-24 00:00:00,893.4844393,1
2013-06-25 00:00:00,893.2553394,1
2013-06-26 00:00:00,892.9694381,1
2013-06-27 00:00:00,892.6270025,1
2013-06-28 00:00:00,892.2283464,1
2013-06-29 00:00:00,891.7738298,0
2013-06-30 00:00:00,891.2638576,0
2013-07-01 00:00:00,890.6988784,1
2013-07-02 00:00:00,890.0793829,1
2013-07-03 00:00:00,889.4059029,1
2013-07-04 00:00:00,888.6790096,0
2013-07-05 00:00:00,887.8993114,1
2013-07-06 00:00:00,887.0674531,0
2013-07-07 00:00:00,886.1841132,0
2013-07-08 00:00:00,885.2500025,1
2013-07-09 00:00:00,884.2658621,1
2013-07-10 00:00:00,883.2324613,1
2013-07-11 00:00:00,882.1505958,1
2013-07-12 00:00:00,881.0210853,1
2013-07-13 00:00:00,879.8447719,0
2013-07-14 00:00:00,878.6225176,0
2013-07-15 00:00:00,877.3552025,1
2013-07-16 00:00:00,876.0437228,1
2013-07-17 00:00:00,874.6889888,1
2013-07-18 00:00:00,873.2919225,1
2013-07-19 00:00:00,871.8534563,1
2013-07-20 00:00:00,870.3745305,0
2013-07-21 00:00:00,868.8560917,0
2013-07-22 00:00:00,867.2990913,1
2013-07-23 00:00:00,865.704483,1
2013-07-24 00:00:00,864.0732218,1
2013-07-25 00:00:00,862.4062621,1
2013-07-26 00:00:00,860.7045562,1
2013-07-27 00:00:00,858.9690529,0
2013-07-28 00:00:00,857.2006958,0
2013-07-29 00:00:00,855.4004224,1
2013-07-30 00:00:00,853.5691626,1
2013-07-31 00:00:00,851.7078377,1
2013-08-01 00:00:00,849.8173593,1
2013-08-02 00:00:00,847.8986279,1
2013-08-03 00:00:00,845.9525328,0
2013-08-04 00:00:00,843.9799503,0
2013-08-05 00:00:00,841.9817438,1
2013-08-06 00:00:00,839.9587626,1
2013-08-07 00:00:00,837.9118412,1
2013-08-08 00:00:00,835.8417994,1
2013-08-09 00:00:00,833.749441,1
2013-08-10 00:00:00,831.6355541,0
2013-08-11 00:00:00,829.5009102,0
2013-08-12 00:00:00,827.3462643,1
2013-08-13 00:00:00,825.1723546,1
2013-08-14 00:00:00,822.9799023,1
2013-08-15 00:00:00,820.7696114,1
2013-08-16 00:00:00,818.542169,1
2013-08-17 00:00:00,816.2982448,0
2013-08-18 00:00:00,814.0384916,0
2013-08-19 00:00:00,811.7635451,1
2013-08-20 00:00:00,809.4740242,1
2013-08-21 00:00:00,807.1705312,1
2013-08-22 00:00:00,804.8536518,1
2013-08-23 00:00:00,802.5239555,1
2013-08-24 00:00:00,800.1819959,0
2013-08-25 00:00:00,797.8283111,0
2013-08-26 00:00:00,795.4634239,1
2013-08-27 00:00:00,793.0878419,1
2013-08-28 00:00:00,790.7020585,1
2013-08-29 00:00:00,788.306553,1
2013-08-30 00:00:00,785.9017909,1
2013-08-31 00:00:00,783.4882245,0
2013-09-01 00:00:00,781.0662936,0
2013-09-02 00:00:00,778.6364254,0
2013-09-03 00:00:00,776.1990356,1
2013-09-04 00:00:00,773.7545288,1
2013-09-05 00:00:00,771.3032986,1
2013-09-06 00:00:00,768.8457289,1
2013-09-07 00:00:00,766.3821935,0
2013-09-08 00:00:00,763.9130578,0
2013-09-09 00:00:00,761.4386782,1
2013-09-10 00:00:00,758.9594037,1
2013-09-11 00:00:00,756.4755758,1
2013-09-12 00:00:00,753.9875295,1
2013-09-13 00:00:00,751.4955937,1
2013-09-14 00:00:00,749.0000918,0
2013-09-15 00:00:00,746.5013426,0
2013-09-16 00:00:00,743.9996606,1
2013-09-17 00:00:00,741.4953566,1
